"Marca temporal","Que edad tenés?","Vivís en Montevideo?","Practicás algún deporte? ","Seleccioná los deportes que jugás","Con qué frecuencia practicás/jugás?","Con qué frecuencia alquilás una cancha para hacerlo?","Si tenés que reservar una cancha, cuáles son los factores más importantes para elegirla?","Estarías dispuesto a usar una App para reservar canchas?","Qué funcionalidades no podrían faltar en una App para reserva de canchas?","Consideras que se genera un problema a la hora de pagar y dividir entre todos el costo de la cancha?","Cómo valorarías tener la posibilidad de pagar a través de la App y dividir tarifa con los demas jugadores?","Te gustaría poder jugar partidos contra desconocidos?"
"2023/04/19 5:05:12 p. m. GMT-3","entre 15 y 25","Sí","Sí","Fútbol 5;Fútbol 7 u 11;Tenis","1 vez por semana","1 vez por semana","Ubicación;Disponibilidad;""La de siempre""","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no);Filtros (ej. Disponibles hoy)","No","4","Sí"
"2023/04/19 5:08:26 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11;Volleyball;Tenis;Padel","1 o 2 veces al mes","Alguna vez al año","Ubicación;Disponibilidad;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación","Sí","4","Sí"
"2023/04/19 5:12:00 p. m. GMT-3","entre 36 y 45","Sí","Sí","Fútbol 5;Basketball;running","Varias veces por semana","Nunca","Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Info de servicios adicionales disponibles","No","5","No"
"2023/04/19 5:12:03 p. m. GMT-3","entre 15 y 25","No","Sí","Fútbol 5","Varias veces por semana","1 vez por semana","Ubicación;Disponibilidad;Fácil reserva","Sí","Info del precio;Agenda;Info de servicios adicionales disponibles;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no);Filtros (ej. Disponibles hoy)","No","2","Sí"
"2023/04/19 5:15:47 p. m. GMT-3","entre 26 y 35","No","Sí","Fútbol 5;Fútbol 7 u 11;Handball","1 vez por semana","1 vez por semana","Precio;Ubicación;Fácil reserva","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda","Sí","5","Sí"
"2023/04/19 5:17:55 p. m. GMT-3","entre 26 y 35","Sí","No","","","","","","","","",""
"2023/04/19 5:26:02 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 7 u 11;Padel","1 vez por semana","Alguna vez al año","Precio;Ubicación;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Info de servicios adicionales disponibles;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no)","Sí","5","Sí"
"2023/04/19 5:55:24 p. m. GMT-3","entre 15 y 25","No","Sí","Handball","Varias veces por semana","Nunca","Precio;Ubicación;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Info de servicios adicionales disponibles;Descuentos u ofertas;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no);Filtros (ej. Disponibles hoy)","Sí","5","Sí"
"2023/04/19 6:05:59 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11","1 o 2 veces al mes","Nunca","Ubicación","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Info de servicios adicionales disponibles","No","5","No"
"2023/04/19 6:14:33 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Tenis","1 o 2 veces al mes","1 o 2 veces al mes","Ubicación;Calidad de la cancha;Incluye pelota u otros elementos para el juego","Tal vez","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Filtros (ej. Disponibles hoy)","No","4","No"
"2023/04/19 6:15:59 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11;Tenis","1 vez por semana","Alguna vez al año","Precio;Ubicación;Calidad de la cancha","Tal vez","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Filtros (ej. Disponibles hoy);Fotos o estado de cancha ","Sí","4","Sí"
"2023/04/19 7:19:21 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Fútbol 7 u 11","Alguna vez al año","Alguna vez al año","Precio;Ubicación;Fácil reserva","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Descuentos u ofertas;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no)","Sí","5","Sí"
"2023/04/20 8:31:52 a. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 7 u 11","1 vez por semana","Nunca","Ubicación;Fácil reserva;Calidad de la cancha","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Descuentos u ofertas;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no)","Sí","5","Sí"
"2023/04/20 3:56:51 p. m. GMT-3","entre 26 y 35","Sí","Sí","Fútbol 5;Handball","1 vez por semana","Alguna vez al año","Precio;Fácil reserva;Incluye pelota u otros elementos para el juego","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no)","Sí","5","Sí"
"2023/04/21 3:08:48 p. m. GMT-3","entre 36 y 45","No","Sí","Crossfit","Varias veces por semana","Nunca","Precio;Ubicación;Fácil reserva","Sí","Mapa de canchas cercanas a mi ubicación;Info del precio;Agenda;Info de servicios adicionales disponibles;Descuentos u ofertas;Posibilidad de crear partidos con otros usuarios de la App (conocidos o no);Filtros (ej. Disponibles hoy)","Sí","5","Sí"
